product,url product lookup
Cast iron,http://dbpedia.org/resource/C-Cast
Cast iron,http://dbpedia.org/resource/R-CAST
Cast iron,http://dbpedia.org/resource/Cast-iron_architecture
Cast iron,http://dbpedia.org/resource/Cast-iron_cookware
Cast iron,http://dbpedia.org/resource/CAST-256
Cast iron,http://dbpedia.org/resource/Uncanny_X-Cast
Cast iron,http://dbpedia.org/resource/CAST-128
Cast iron,http://dbpedia.org/resource/CAST
Cast iron,http://dbpedia.org/resource/Cast
Slag,http://dbpedia.org/resource/Stringer_(slag)
Slag,http://dbpedia.org/resource/Slag
Slag,http://dbpedia.org/resource/Slag_(welding)
Slag,http://dbpedia.org/resource/Copper_slag
Slag,http://dbpedia.org/resource/Slag_Hill
Slag,http://dbpedia.org/resource/Slag_(play)
Slag,http://dbpedia.org/resource/Slag_om_Norg
Slag,http://dbpedia.org/resource/Buštěhrad_slag_heap
Slag,http://dbpedia.org/resource/Klappar_och_slag
Slag,http://dbpedia.org/resource/Slag_Pile_Annie
Furniture,http://dbpedia.org/resource/Furniture_(EP)
Furniture,http://dbpedia.org/resource/Foot_(furniture)
Furniture,http://dbpedia.org/resource/Furniture
Furniture,http://dbpedia.org/resource/Splat_(furniture)
Furniture,http://dbpedia.org/resource/Hille_(furniture)
Furniture,http://dbpedia.org/resource/Drawer_(furniture)
Furniture,http://dbpedia.org/resource/Vitra_(furniture)
Furniture,http://dbpedia.org/resource/Hutch_(furniture)
Furniture,http://dbpedia.org/resource/Sling_(furniture)
Furniture,http://dbpedia.org/resource/Chop_(furniture)
Postage meters,http://dbpedia.org/resource/Postage_meter
Postage meters,http://dbpedia.org/resource/Postage_due
Postage meters,http://dbpedia.org/resource/Postage_meter
Postage meters,http://dbpedia.org/resource/Postage_(album)
Postage meters,http://dbpedia.org/resource/Postage_Due
Postage meters,http://dbpedia.org/resource/Postage_stamp
Postage meters,http://dbpedia.org/resource/Ghetto_Postage
Postage meters,http://dbpedia.org/resource/Postage_Paid
Postage meters,http://dbpedia.org/resource/Postage_stamp_reuse
Postage meters,http://dbpedia.org/resource/Postage_stamp_design
Postage meters,http://dbpedia.org/resource/Postage_stamp_reprint
Document management system,http://dbpedia.org/resource/Document_management_system
Document management system,http://dbpedia.org/resource/Document
Document management system,http://dbpedia.org/resource/Document!_X
Document management system,http://dbpedia.org/resource/Document-oriented_database
Document management system,http://dbpedia.org/resource/Document-centric_collaboration
Document management system,http://dbpedia.org/resource/Document_1
Document management system,http://dbpedia.org/resource/Document-term_matrix
Document management system,http://dbpedia.org/resource/Commission_(document)
Document management system,http://dbpedia.org/resource/Polyptych_(document)
Document management system,http://dbpedia.org/resource/Document_8
Document management system,http://dbpedia.org/resource/Form_(document)
Franking machines,"http://dbpedia.org/resource/Franking,_Austria"
Franking machines,http://dbpedia.org/resource/Franking
Franking machines,http://dbpedia.org/resource/Mixed_franking
